address,x11,x12,x21,x22,x23,x24,x31,x32,x41,x42,x43,x51,x52,x61,x71,x72,label
0x0000000000a9a823cf72cf7818fb32f38c66dde3,850,744,300,300,300,300,300,300,606,850,850,0,300,850,300,690,3
0x000d22872643daedd721eb514943db55ef37e62f,850,758,729,731,732,746,720,718,674,850,850,300,300,300,623,690,3
0x0032311e56bc34efde20b408bb99d986eea1863a,708,727,300,300,300,300,300,300,747,850,850,300,300,652,617,690,3
0x0038af98d4c3f015f944155850adb56cd207c76b,850,752,690,690,690,300,663,674,743,850,850,850,300,300,539,690,3
0x004afb002e3fb33c833fc16b6b63103bbf97312d,850,754,300,300,300,300,300,300,768,850,850,300,300,300,623,690,3
0x0083949cc199bf05421f98f5c8f79370855ba50f,850,714,696,690,690,690,707,665,470,850,850,300,300,300,617,690,3
0x008bf5ef7e1b1170f0f7471b93f62b5cac55316f,850,742,711,690,672,690,674,300,760,850,850,300,300,300,617,690,3
0x00b35e49de29b61fa3b0ad8d8be308543db89520,850,787,690,690,690,711,760,665,833,850,850,300,300,441,617,690,3
0x00b591bc2b682a0b30dd72bac9406bfa13e5d3cd,850,739,734,732,718,724,702,680,825,850,850,300,0,300,617,690,3
0x00dcb0f4d625ca40a0f0cd2f45bbdbd343198793,792,754,300,300,300,300,300,300,805,850,850,300,300,300,617,690,3
0x0100bf1757bfe5680b8ae704c181e72496f7270d,850,749,300,300,300,300,300,300,719,850,850,300,300,300,617,690,3
0x0184df2afb9845c27504419ac7d5efccae41b951,850,731,690,690,690,690,693,649,750,850,850,300,300,300,617,690,3
0x01dfdd5ffcf3d4942a99a8465ac868b9311704ca,850,718,690,690,690,711,300,300,729,850,850,300,300,300,557,690,3
0x01e9885169f1884a243dd68a85b3f7a2a1ef1a08,850,748,300,300,300,300,300,300,724,850,850,300,300,786,617,690,3
0x01eb2941c97c4a75df38fa77b5c4cbab47fd7240,850,695,300,300,300,300,722,718,733,850,850,0,300,300,617,690,3
0x01fe1f50af178fc296d6e7b65d6ec4d3d996c356,850,741,300,300,300,300,300,300,721,850,850,300,300,751,617,690,3
0x021633ddf7d699fabad15782effc7ac882f14515,850,740,300,300,300,300,300,300,719,850,850,300,300,850,539,690,3
0x02398360f91fbd181445252d04222ea456947e53,850,757,300,300,300,300,300,300,850,850,850,300,300,832,623,690,3
0x0246c1e74ee54af89c50bfeffdddbad0f0d63da2,850,728,300,300,300,300,300,300,515,850,850,300,300,300,617,690,3
0x026e4640ea509d6c6db7526edb9f50b529bf9399,850,742,300,300,300,300,300,300,772,850,850,300,300,846,591,690,3
0x0274a704a6d9129f90a62ddc6f6024b33ecdad36,850,755,300,300,300,300,786,723,586,850,850,300,300,300,557,690,3
0x0297f2d6bd391f1f70e33d1669b6600a9f6530d1,850,753,300,300,300,300,300,300,788,850,850,300,300,584,617,690,3
0x02a5cbbb6ca999812968f4f035c7ecc59c830128,850,731,711,711,718,690,718,674,725,850,850,300,300,356,617,690,3
0x02ab2b31ee3bf13ad259d3f1ea10169bd72e99de,850,741,719,719,718,740,724,706,723,850,850,300,300,300,617,690,3
0x02bb6041d8620b3547d3c3604e159b4b8968ef84,850,734,700,701,707,711,696,680,724,850,850,300,300,300,617,690,3
0x02d60b84491589974263d922d9cc7a3152618ef6,850,725,300,300,300,300,300,300,692,850,850,0,300,300,591,690,3
0x02ef4ec6d74736aa2924bcad0701573990a7a61e,850,748,300,300,300,300,300,300,660,850,850,300,300,690,623,690,3
0x02fc60dc69b1d4541ba75cf1517255a03f70d046,850,736,300,300,300,300,300,300,717,850,850,300,300,612,617,690,3
0x02fdafebe984ffaef102e0a0a7931f5d4a521286,850,751,300,300,300,300,300,300,642,850,850,850,300,491,541,690,3
0x030038f5e941427b0e3c19999e08b9492bf5bcc2,850,740,300,300,300,300,746,693,548,850,850,300,300,535,617,690,3
0x0308fcfaaeffc11dc8dd4f6edb53c6f411e1689f,850,780,300,300,300,300,300,300,709,850,850,300,300,849,623,690,3
0x031f4ddae8a560daea8816f05e96a7a8dc2637ef,850,743,300,300,300,300,300,300,730,850,850,850,300,509,623,690,3
0x032ade653b7d6abe56de3d12e2a474b40fa31d89,850,732,706,708,707,300,708,680,746,850,850,850,300,457,539,690,3
0x03356060622b057978f616a26ebb2967a73625ec,850,751,300,300,300,300,300,300,691,850,850,300,300,695,617,690,3
0x0367e3132549bc7f60ce2c63a8577f7a4b1af08b,850,762,679,678,672,690,734,649,678,850,850,300,300,300,617,690,3
0x0370ed5dd2541bfa58fb42a6c40591224b6eaa32,850,738,300,300,300,300,300,300,724,850,850,300,300,435,617,690,3
0x037c5a4d00ddbe756bf3da4128d082df92725d61,850,784,300,300,300,300,300,300,850,850,850,850,300,680,617,690,3
